"","alpha","beta","theta","p","delta1","delta2","delta3","delta4","tau1","tau2"
"1",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"2",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"3",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"4",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"5",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"6",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"7",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"8",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"9",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"10",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"11",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"12",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"13",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"14",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"15",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"16",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"17",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"18",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
"19",0,0.02,0.090483741803596,0.6,0.01,0.05,0.076098649976568,0.010610788180481,0.1,0.00970733351719395
