"","alpha","beta","theta","p","delta1","delta2","delta3","delta4","tau1","tau2"
"68",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"69",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"70",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"71",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"72",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"73",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"74",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"75",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"76",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"77",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"78",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"79",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"80",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"81",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"82",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"83",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"84",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"85",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"86",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"87",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"88",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"89",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"90",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"91",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"92",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"93",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"94",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"95",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"96",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"97",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"98",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"99",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"100",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"101",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"102",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"103",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"104",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
